id,phrase,nbsyllabe
121,Chez ce cher sergent,5
122,Adieu monde cruel,5
123,Oui je suis trop fort,5
124,Une enchanteresse,5
125,Lente et bien pesante,5
126,Inutile et froid,5
127,Doucement vécu,5
128,Seigneur des anneaux,5
129,Que veux tu vraiment,5
130,Sache que je t aidais,5
131,Ni gentil ni beau,5
132,Mange ! Et dort bien vite,5
133,Comment ? Tu hésites,5
134,"Vent, eau et feu vif",5
135,"Beau, gentil, calmé",5
136,"Belle, gentille, calmée",5
137,Il saura partir,5
138,Garage de folie,5
139,Aujourd'hui elle sait,5
140,Jamais ils ne touchent,5
141,"Correctement, vite",5
142,Comment ? Tu hésites,5
143,"Eux, ils savaient bien",5
144,Magicien d ici,5
145,Songes tu à dormir,5
146,Pourquoi il aboie,5
147,Il pense à l avoir,5
148,L avenir te gêne,5
149,Je dois voir l éventreur,6
150,Il doit voir l éventreur,6
151,Ils doivent voir l éventreur,6
152,Je trouverai le brick,6
153,Tu trouveras le brick,6
154,Il trouvera un aigle,6
155,Nous trouverons un aigle,6
156,Vous trouverez un aigle,6
157,Je trouverai des ailes,6
158,"Tout au bout, un chemin",6
159,Au fond de la vallée,6
160,"Dans les trousses, tu es là",6
161,"Quand j irai, tu seras",6
162,"Des fois, une mouche surprise",6
163,"Sur les mots, combattante",6
164,Hélas ! La scolopendre,6
165,"Ouf, ils sont partis loin",6
166,Les bouillottes font du bruit,6
167,"L océan est vide, triste",6
168,Pourquoi aller là-bas,6
169,"Surtout, ne pas vendre trop",6
170,Hélas ! Je dois partir,6
171,Hélas ! Tu dois partir,6
172,Hélas ! Il doit partir,6
173,Hélas ! Ils doivent partir,6
174,"Dans la vallée, agneau",6
175,"Dans la vallée, agneaux",6
176,"Dans la vallée, asperge",6
177,"Dans la vallée, asperges",6
178,"Dans les vallées, agneau",6
179,"Dans des ruisseaux, asperges",6
180,"Il va, il court, le chat",6
181,"Il vont, ils courent, les chats",6
182,"Il va, il court, un chat",6
183,"Il vont, ils courent, des chats",6
184,Que faire en cas de siège,6
185,Que faire en cas d attaque,6
186,"Gaiement, je vis la foule",6
187,"Gaiement, il vit la foule",6
188,"Gaiement, nous vîmes la foule",6
189,"Je suis, il est, nous sommes",6
190,"Tu es, vous êtes, ils sont",6
191,"Je suis, nous sommes, vous êtes",6
192,Tu es parfait mon homme,6
193,Tu es parfaite ma femme,6
194,À chaque femme son ami,6
195,La musique est partie loin,7
196,"Hélas, il regarde si loin",7
197,Oh ! Tu es si jalousé,7
198,Ni mimosa ni éponge,7
199,Et pour comble de cette malice,7
200,Nous devons voir l éventreur,7
201,Vous devez voir l éventreur,7
202,Je dois voir un éventreur,7
203,Tu dois voir un éventreur,7
204,Il doit voir un éventreur,7
205,Je dois voir un marteleur,7
206,Tu dois voir un marteleur,7
207,Il doit voir un marteleur,7
208,Ils doivent voir un marteleur,7
209,Nous trouvons le brocoli,7
210,Nous trouvons un brocoli,7
211,Vous trouvez un brocoli,7
212,Vous trouvez les brocolis,7
213,Nous trouvons des brocolis,7
214,Vous trouvez des brocolis,7
215,Hélas ! Nous devons partir,7
216,Hélas ! Vous devez partir,7
217,"Sur le toit, la scolopendre",7
218,"Sur le toit, des scolopendres",7
219,"Sur le toit, les brocolis",7
220,"Sur le toit, un brocoli",7
221,"Sur le toit, des brocolis",7
222,"L enfant joue, il est sublime",7
223,"Un jour, le ciel tombera",7
224,"Un jour, un ciel tombera",7
225,"Un jour, des neiges tomberont",7
226,"Il va, le vilain filou",7
227,"Ils vont, les vilains filous",7
228,L ironie du sort change vite,7
229,Il ne changera jamais,7
230,Il sait comment être gentil,7
231,"Mince, ils voient ton vrai visage",7
232,"Dans le chocolat, rien ne va",8
233,"Beau, gentil, acerbe, abrasif",8
234,Nous devons voir le marteleur,8
235,Vous devez voir le marteleur,8
236,Vous devez voir les éventreurs,8
237,Nous devons voir un marteleur,8
238,Vous devez voir un marteleur,8
239,"Là-bas, je vais allègrement",8
240,"Là-bas, tu vas allègrement",8
241,"Là-bas, il va allègrement",8
242,"Là-bas, ils vont allègrement",8
243,"Regarde maman, le psychopathe",8
244,"Regarde maman, la psychopathe",8
245,"Regarde maman, une psychopathe",8
246,"Regarde maman, des psychopathes",8
247,"Quand j ai vu, je me suis cachée",8
248,"Quand j ai vu, nous nous sommes cachées",8
249,"Quand j ai vu, nous nous sommes cachés",8
250,"Quand j ai vu, vous vous êtes cachés",8
251,"Quand j ai vu, ils se sont cachés",8
252,Que faire la nuit dans la montagne,8
253,Que faire les nuits dans les montagnes,8
254,"Dans le quartier, on voit du sable",8
255,"Gratuitement, ça fait beaucoup",8
256,"Sans toi, je ne suis pas joli",8
257,"Les buissons chantent, je suis choqué",8
258,Je ne trouve plus de phases à dire,8
259,"Un enfant joue, il est sublime",8
260,"Les enfants jouent, ils sont sublimes",8
261,"Des enfants jouent, ils sont sublimes",8
262,"Les étrangers volent, incroyable",8
263,"Des étrangers volent, incroyable",8
264,"Un étranger vole, incroyable",8
265,"Où ton coeur dorme, enfin glacé",8
266,"Retourne, tout comme au temps passé",8
267,Aux illusions de la forêt,8
268,Et inscrit ces mots sur le sable,8
269,"Sur les plombs, allégés, du sable",8
270,"Ce franc baisé, ce baiser doux",8
271,Je veux manger du chocolat,8
272,Oh ! Je n y aurai pas pensé,8
273,Vous n avez jamais publié,8
274,Comment dire ? Je ne sais pas bien,8
275,Tout ce qui commence se termine,8
276,"Je vais loin, tu vois ce n est pas dur",9
277,"Tu vas loin, tu vois ce n est pas dur",9
278,"Il va loin, tu vois ce n est pas dur",9
279,"Ils vont loin, tu vois ce n est pas dur",9
280,"Même si je ne sais pas, océan",9
281,"Là-bas, nous allons allègrement",9
282,"Là-bas, vous allez allègrement",9
283,"Ah cruel, tu m as trop entendu",9
284,"Ah cruel, tu m as trop entendue",9
285,"Ah cruel, il m a trop entendu",9
286,De la musique avant toute chose,8
287,Et pour cela préfère l Impair,8
288,Plus vague et plus soluble dans l air,8
289,Sans rien en lui qui pèse ou qui pose,9
290,"Étourdie, fameuse dans sa beauté",9
291,"Étourdie, belle, charismatique, fraîche",9
292,Mais tu ne sais pas comment admettre,9
293,Évidemment ! Il sait que j ai peur,9
294,Jamais ils ne le sauront vraiment,9
295,Tu aurais pu vivre longtemps et bien,9
296,Ils auraient pu vivre longtemps et bien,9
297,Je ne sais pas quelle est cette horreur,9
298,Quelle est cette horreur ? J en suis choquée,9
299,Oh ! Je n y aurai pas vraiment cru,9
300,"Hélas, ma grand-mère ne chante pas bien",9
301,Comment ? Ils n en sauront jamais rien,9
302,"Concrètement, elles vont devoir battre",9
303,Que sais tu ? L avenir nous attend,9
304,La réalité pourrait blesser,9
305,Les animaux sont de vrais amis,9
306,Tu sais ce qui ne va pas pour toi,9
307,Il serait plus sérieux de manger,9
308,"Dans la vie comme dans l océan, loin",9
309,"Parfois je cherche à comprendre, souvent",9
310,Sache que ma vie était différente,9
311,Se préparer pour la guerre est long,9
312,Troisième mythe : il est devenu riche,9
313,Combien de livres lisons nous par an,9
314,Plutôt que la guerre : la création,9
315,C est une sublime femme ! Pleine de bonté,9
316,Racontez moi vos plus terribles songes,9
317,Cache ce que tu peux et veux garder,9
318,"Dans cinq ans, elle mourra trois fois plus",9
319,Je mange tellement de toi mon amour,10
320,"Dans mon rêve le plus beau, je suis la reine",10
321,"Dans mes rêves les plus beaux, ils sont les reines",10
322,"Dans mes rêves les plus beaux, ils sont les rois",10
323,Je veux remanger plus de chocolat,10
324,Tu veux remanger plus de chocolat,10
325,Elle veut remanger plus de chocolat,10
326,Ils veulent remanger plus de chocolat,10
327,Je n ai plus d inspiration la tristesse,10
328,"Difficile, mais pas impossible, oh non",10
329,"Phrase sans verbe, possible ou bien impossible",10
330,Ce que je dis fait sens ? Je ne pense pas,10
331,Quelle est la vie que tu aurais aimé,10
332,"J aurai dû abandonner plus tôt, non",10
333,"Abominable, vicieux, galopant, frais",10
334,Elle fait un beau job en informatique,10
335,Qui est cette personne ? Je la connais bien,10
336,Force et courage sont ses meilleurs atouts,10
337,"Demain, tu vivras dans une grande forêt",10
338,Comment osent ils ? L humilité s apprend,10
339,Ridicule ! Tu vas regretter ton choix,10
340,Oh ! Jamais de ta vie tu ne sauras,10
341,Attardons nous juste sur la fin de vie,10
342,D esprit fort tranquille mais d air sulfureux,10
343,Ils nous convient à un acide buffet,10
344,Quel est l état de la forêt française,10
345,Pourrais je un jour m imaginer sans,10
346,Renforcer vos protections intérieures,10
347,Nous voulons remanger plus de chocolat,11
348,Vous voulez remanger plus de chocolat,11
349,"Loin des oiseaux, des troupeaux, des villageoises",11
350,"Je buvais, accroupi dans ces quelques bruyères",11
351,Entourée de ces tendres bois de noisetiers,11
352,Par un brouillard d après-shampoing tiède et vert,11
353,Ce faible lieu tranquille où la vie entre les lignes,11
354,Passe sur un papier joli qui attendra,11
355,L image inattendue ou la citation,11
356,Ouvertes sur la musique de nos petits livres,11
357,Je réveille le vieillissant procommuniste,11
358,Qui ne sait désormais sur quel pied danser,11
359,La vie apprend aux enfants le cacao,11
360,La vie apprend aux enfants l humilité,11
361,Jamais tu ne sauras ce qui était vrai,11
362,À vouloir dominer tu ne seras rien,11
363,La réalité des choses peut faire souffrir,11
364,Il a voulu voir la vie sans la choquer,11
365,Hélas ! Sa vie n était que mensonges cachés,11
366,"Malin, jeune, beau, déterminé et coquin",11
367,Oh ! Mais tu le savais ? Depuis tout ce temps,11
368,Mais quelle est la vie que tu aurais aimé,11
369,Heureusement ils ont lâché ce projet,11
370,Comment te le dire ? Tu ne comprendrais pas,11
371,"Ni une ni deux, je sais pourtant bien chanter",11
372,Comment osent ils ? Ils ne savent pas qui je suis,11
373,"Abandonné par ses maîtres, il erre sans but",11
374,Préserver ce que tu peux et veux garder,11
375,Les belles valeurs sont par nature expansives,11
376,D esprit fort tranquille mais d allure sulfureuse,11
377,Reproches et aventures feront ton ciment,11
378,Pourquoi as tu mangé tout le chocolat,11
379,Quel est l état de la forêt gabonaise,11
380,Une véritable aubaine pour la vie sauvage,11
381,Une source sûre et efficace de petit-beurre,11
382,Devant mes yeux brouillés par les pleurs et la boue,12
383,Je perçois ton visage aux longs cheveux dorés,12
384,"Ton étagère me hante, à en devenir fou",12
385,Tu es l espoir lointain de mon coeur déchiré,12
386,"Ils sont couchés là-bas, mes jeunes frères d agonie",12
387,Noyés dans les ruisseaux de leur sang juvénile,12
388,Libérés pour toujours de ce monde en furie,12
389,Qui balaie de son souffle impur les corps fragiles,12
390,De quitter la folie des artisans de mort,12
391,La nuit recouvre enfin les cadavres répartis,12
392,Les clameurs des blessés ont sombré dans l abîme,12
393,Sur la chevelure rougie rôdent les charognards,12
394,Attirés par l odeur épaisse et âcre du crime,12
395,Vers la puissante tiédeur de ta bouche enivrante,12
396,"Je suis saoul de ton corps, de ta voix caressante",12
397,Notre doux et immense baiser habite ma mémoire,12
398,"Balaie, tel un géant, mes remords dérisoires",12
399,"Je me voudrais poète, évangéliste de mots",12
400,Disposé à célébrer tes charmes virginaux,12
401,"Mais je ne suis plus rien, un déserteur maudit",12
402,Robot désincarné en quête d une cafetière,12
403,Je sens le désespoir consumer mon courage,12
404,Appelant de leurs voeux celui qui te vénère,12
405,Le soldat harassé qui pour toujours adore,12
406,L harmonie de ton coeur et sa grande flamme solaire,12
407,Doucement ! Comment tu aurais pu le savoir,12
408,Dis moi ! Quelle est la vie que tu aurais aimé,12
409,Comment ? Je n y crois pas ! La musique est partie,12
410,"Gentil, burlesque, enivrant, farfelu, gâté",12
411,Elle sait depuis des années tout ce que tu dis,12
412,Allez présenter de tels chiffres aux décideurs,12
413,L aura puissante de ta force enivrante et vive,12
414,"Évidemment, j ai longuement pensé à toi",12
415,Reproches et aventures sont le ciment de l âme,12
416,J aime,1
417,Tu aimes,2
418,Il aime,2
419,Elle aime,2
420,Nous aimons,3
421,Vous aimez,3
422,Ils aiment,2
423,Elles aiment,2
424,J aimais,2
425,Tu aimais,3
426,Il aimait,3
427,Elle aimait,3
428,Nous aimions,3
429,Vous aimiez,3
430,Ils aimaient,3
431,J aimerai,3
432,Tu aimeras,4
433,Il aimera,4
434,Elle aimera,4
435,Nous aimerons,4
436,Vous aimerez,4
437,Ils aimeront,4
438,J aimerais,3
439,Tu aimerais,4
440,Il aimerait,4
441,Je pars,2
442,Tu pars,2
443,Il part,2
444,Elle part,2
445,Nous partons,3
446,Vous partez,3
447,Ils partent,2
448,Elles partent,2
449,Je partais,3
450,Il partait,3
451,Nous partions,3
452,Je partirai,4
453,Tu partiras,4
454,Il partira,4
455,Nous partirons,4
456,Vous partirez,4
457,Ils partiront,4
458,Je vois la mer,4
459,Tu vois la mer,4
460,Il voit la mer,4
461,Nous voyons la mer,5
462,Vous voyez la mer,5
463,Ils voient la mer,4
464,Je chante doucement,5
465,Tu chantes doucement,5
466,Il chante doucement,5
467,Elle chante doucement,5
468,Nous chantons doucement,6
469,Ils chantent doucement,5
470,Je rêve de toi,4
471,Tu rêves de moi,4
472,Il rêve d ailleurs,4
473,Elle rêve d amour,4
474,Nous rêvons ensemble,5
475,Je dors profondément,6
476,Tu dors profondément,6
477,Il dort profondément,6
478,Je danse encore,4
479,Tu danses encore,4
480,Il danse encore,4
481,Elle danse encore,4
482,Les sanglots longs,4
483,Des violons,3
484,De l automne,3
485,Blessent mon coeur,3
486,D une langueur,3
487,Monotone,3
488,Tout suffocant,4
489,Et blême quand,3
490,Sonne l heure,2
491,Je me souviens,4
492,Des jours anciens,4
493,Et je pleure,3
494,Je fais souvent ce rêve étrange,8
495,Et nos amours,4
496,La joie venait toujours après la peine,10
497,Vienne la nuit sonne l heure,5
498,Les jours s en vont je demeure,7
499,Demain dès l aube je partirai,8
500,Vois-tu je sais que tu m attends,8
501,J irai par la forêt,6
502,J irai par la montagne,6
503,Je ne puis demeurer loin de toi,9
504,Mon enfant ma soeur,5
505,Songe à la douceur,5
506,Aimer à loisir,5
507,Aimer et mourir,5
508,Au pays qui te ressemble,7
509,Souvent pour s amuser,6
510,Les hommes d équipage,5
511,Prennent des albatros,5
512,Vastes oiseaux des mers,5
513,Par les soirs bleus d été,6
514,Picoté par les blés,6
515,Je laisserai le vent,6
516,Baigner ma tête nue,5
517,Mignonne allons voir si la rose,8
518,Cueillez dès aujourd'hui les roses,8
519,Maître Corbeau sur un arbre perché,8
520,Tenait en son bec un fromage,8
521,Maître Renard par l odeur alléché,9
522,Le chat dort,3
523,La chatte dort,3
524,Les chats dorment,3
525,Les chattes dorment,3
526,Le chat ronronne,4
527,La chatte ronronne,4
528,Les chats ronronnent,4
529,Les chattes ronronnent,4
530,Le chat miaule,3
531,La chatte miaule,3
532,Un beau jour,3
533,Une belle nuit,3
534,De beaux jours,3
535,De belles nuits,3
536,Un grand bonheur,4
537,Une grande joie,3
538,De grands plaisirs,4
539,De grandes peines,3
540,Un vieux livre,3
541,Une vieille histoire,4
542,De vieux livres,3
543,De vieilles histoires,4
544,Un nouveau jour,4
545,Une nouvelle aube,4
546,De nouveaux espoirs,5
547,De nouvelles promesses,5
548,Au creux de la nuit,5
549,Dans le silence,4
550,Sous la lune pâle,4
551,Près des étoiles,4
552,Loin des hommes,3
553,Au fond du coeur,4
554,Dans l ombre du soir,4
555,Sur le chemin doux,5
556,La lune brille,3
557,Le soleil descend,5
558,Les étoiles dansent,4
559,Le vent murmure,4
560,La mer chante,3
561,L arbre frissonne,3
562,La fleur s ouvre,3
563,L oiseau s envole,4
564,Le ruisseau coule,4
565,La nuit tombe lentement,6
566,Le jour naît doucement,6
567,Le crépuscule vient,5
568,Le printemps fleurit,5
569,L été flamboie,4
570,L automne dore les feuilles,5
571,L hiver glace les âmes,5
572,Au printemps les fleurs fleurissent,7
573,En hiver tout repose,6
574,Je ne dors plus,4
575,Tu ne dors plus,4
576,Il ne sait pas,4
577,Elle ne sait pas,4
578,Nous ne savons rien,5
579,Vous ne savez rien,5
580,Plus jamais,3
581,Que dis-tu,3
582,Où vas-tu,3
583,Pourquoi pleurer,4
584,Quand reviendras-tu,5
585,Comment savoir,4
586,Qui est cet homme,4
587,Qui est cette femme,4
588,Que veux-tu vraiment,5
589,La joie est là,4
590,La tristesse passe,4
591,L amour demeure,4
592,La peur s en va,4
593,L espoir renaît,4
594,Pour toi,2
595,Avec toi,3
596,Sans toi,2
597,Près de toi,3
598,Loin de toi,3
599,Je veux partir,4
600,Tu veux partir,4
601,Il veut partir,4
602,Nous voulons partir,5
603,Vous voulez partir,5
604,Ils veulent partir,4
605,Quand je te regarde,5
606,Lorsque tu souris,5
607,Si tu reviens,4
608,Avant l aurore,4
609,Au crépuscule,4
610,La mer brille au matin,6
611,Les vagues lèchent le sable,5
612,L horizon devient flou,6
613,Le ciel s embrase doucement,7
614,Une étoile traverse la nuit,7
615,Le vent du large emporte les regrets,9
616,Les mouettes tournent dans le ciel,6
617,La marée monte sans bruit,6
618,L écume blanche danse sur la pierre,8
619,Le bleu profond cache des secrets,8
620,La falaise tombe dans la mer,7
621,Un voilier glisse à l horizon,8
622,Le port s endort au crépuscule,8
623,La lune éclaire les toits,6
624,Le phare clignote au loin,6
625,Une brume légère couvre le rivage,8
626,Les algues sèchent sur les rochers,7
627,Le galet roule entre les vagues,7
628,Un poisson saute hors de l eau,7
629,Le sel brûle sur les lèvres,6
630,La plage est vide ce matin,7
631,Les coquillages craquent sous mes pieds,8
632,L odeur d iode emplit l air salin,8
633,Une vague immense vient mourir,7
634,Le sable garde la trace,5
635,Les nuages courent sur l océan,7
636,Le ciel pâlit avant l aube,7
637,Le sol tremble sous nos pas,6
638,La forêt frissonne au matin,8
639,Un chêne ancien veille sur la clairière,9
640,Les feuilles tombent en silence,6
641,Le ruisseau murmure sa chanson,8
642,La mousse couvre les pierres,5
643,Un cerf surgit entre les arbres,7
644,L écorce craque sous la pluie,6
645,Le sentier serpente sous les branches,8
646,Une biche boit à la rivière,7
647,Les pins sentent bon la résine,7
648,Le hibou hulule dans la nuit,8
649,Un rayon perce le feuillage,7
650,La sève monte au printemps,6
651,Les champignons poussent dans l ombre,7
652,Le sous-bois garde ses secrets,7
653,Un écureuil saute de branche en branche,9
654,Les fougères s ouvrent au matin,7
655,Le vent agite les bouleaux,7
656,Une source jaillit entre les pierres,7
657,Le brouillard noie les collines,7
658,La rosée perle sur les herbes,7
659,Les coquelicots dansent dans le blé,9
660,Un papillon se pose sur la fleur,9
661,Le champ de lavande embaume,7
662,Les abeilles butinent sans relâche,8
663,La meule de foin sent l été,7
664,Un épi de blé plie sous le vent,9
665,Le pommier ploie sous les fruits,7
666,La vigne mûrit au soleil,7
667,Les hirondelles annoncent l été,8
668,Un nid se cache sous le toit,7
669,Le rossignol chante à l aube,7
670,La cigale crie dans l après-midi,9
671,Le grillon répond dans la nuit,8
672,Une libellule survole l étang,8
673,Le nénuphar flotte sur l eau,7
674,Les saules pleurent au bord du lac,7
675,Un cygne glisse sur le miroir,7
676,Le canard plonge sa tête,6
677,La grenouille saute dans la mare,7
678,Les roseaux ploient au gré du vent,8
679,Le martin-pêcheur disparaît,8
680,Un héron veille immobile,7
681,La rivière contourne le hameau,8
682,Le moulin grince doucement,7
683,Un pont de bois enjambe l eau,7
684,La cascade gronde dans la gorge,7
685,Le torrent dévale la montagne,8
686,Les sommets se couvrent de neige,7
687,Le glacier brille au loin,6
688,Une avalanche ronfle au lointain,8
689,Le berger guide son troupeau,7
690,La cloche tinte au cou des vaches,7
691,Un aigle plane au-dessus du col,8
692,Le chamois bondit de roche en roche,9
693,La marmotte siffle dans son terrier,8
694,Le refuge attend les voyageurs,9
695,Un feu de bois crépite,6
696,La lampe vacille dans la nuit,7
697,Les volets battent au vent,6
698,Le toit gronde sous l averse,6
699,Une fenêtre s ouvre sur le jour,7
700,Le rideau se gonfle doucement,8
701,La porte grince en s ouvrant,6
702,Un pas résonne dans le couloir,8
703,L horloge bat dans le salon,7
704,Le feu de bois éclaire les murs,8
705,Une ombre passe sur la cheminée,8
706,Le plancher craque sous mes pieds,7
707,La théière siffle à la cuisine,8
708,Le pain chaud sort du four,6
709,Une miette tombe sur la table,6
710,Le café fume dans la tasse,7
711,Un livre attend sur l oreiller,8
712,La page jaunie sent la poussière,8
713,Le silence règne dans la pièce,7
714,Une lettre traîne sur le bureau,7
715,Le stylo a séché ce matin,9
716,Mon carnet garde mes secrets,7
717,Une mèche tombe sur ses yeux,6
718,Son sourire éclaire la pièce,7
719,Sa voix résonne encore en moi,8
720,Ses mains tremblent quand je l embrasse,7
721,Tes yeux brillent dans la pénombre,7
722,Tes cheveux glissent entre mes doigts,7
723,Ton parfum me rappelle l été,8
724,Ta peau est douce comme la soie,7
725,Mon coeur bat plus fort près de toi,8
726,Je tremble en te disant je t aime,8
727,Tu souris quand je te regarde,8
728,Nos doigts s entrelacent en silence,8
729,Tes lèvres frôlent les miennes,5
730,Un baiser scelle nos promesses,7
731,Nos coeurs battent à l unisson,7
732,Je t écris des poèmes secrets,8
733,Tu me lis jusqu à l aube,5
734,Nos rires emplissent la maison,7
735,Tu danses pieds nus dans la pluie,7
736,Je te regarde dormir paisible,8
737,Tu respires contre mon épaule,7
738,Nous marchons main dans la main,7
739,Nous parlons sans dire un mot,7
740,Je pense à toi sans cesse,6
741,Tu reviens hanter mes nuits,7
742,Ton absence pèse sur mon coeur,7
743,Je compte les jours qui restent,6
744,Tu écris mon nom dans le sable,8
745,La mer efface nos serments,7
746,Le temps emporte nos étreintes,7
747,Je garde ta lettre près de moi,7
748,Tu m as quittée un matin gris,8
749,Tu m as oubliée trop vite,7
750,Je n attends plus ton retour,7
751,L oubli est plus doux que la peine,8
752,Le souvenir s estompe peu à peu,9
753,Je ferme les yeux pour mieux te voir,8
754,Tu danses encore dans mes songes,7
755,Ton visage flotte dans la brume,7
756,Je t aimerai toute ma vie,7
757,Tu seras mon dernier soupir,8
758,Nous vieillirons ensemble peut-être,8
759,Le temps nous épargnera enfin,9
760,Je voudrais arrêter le temps,8
761,Tu voudrais revivre ce moment,8
762,Le bonheur passe en un instant,8
763,La joie ne dure qu un soupir,7
764,Le printemps ramène les fleurs,7
765,Les bourgeons éclatent en avril,8
766,Avril fait fleurir les cerisiers,9
767,Mai ramène les hirondelles,7
768,Le lilas embaume le jardin,8
769,Les rosiers grimpent au mur,6
770,Les iris s ouvrent près du puits,7
771,Le muguet sort sous les feuilles,7
772,Les jonquilles dansent dans le pré,7
773,Les violettes parsèment le bois,7
774,Le coucou chante dans la forêt,8
775,Les arbres se couvrent de vert,6
776,La saison nouvelle nous ravit,8
777,L été chaud arrive enfin,7
778,Juin nous offre les fraises,5
779,Juillet brûle sur les pavés,7
780,Août étire ses longues journées,7
781,Le soleil tape sur les volets,8
782,Les enfants courent dans la cour,7
783,Les vacances semblent éternelles,7
784,Les soirs traînent jusqu à dix heures,6
785,La nuit tombe à peine,5
786,Les étoiles peuplent le ciel d été,8
787,Le grillon chante sous la lune,7
788,Les chauves-souris frôlent les murs,7
789,La canicule épuise les corps,8
790,L orage gronde au loin,5
791,La pluie chaude fait fumer la terre,8
792,Septembre apporte la rentrée,7
793,Les cartables retrouvent les écoles,8
794,Les feuilles jaunissent peu à peu,7
795,Octobre dore les vignobles,6
796,Les vendanges battent leur plein,6
797,Le vin nouveau coule des cuves,7
798,Les châtaignes tombent dans l herbe,6
799,Le marron éclate sous le talon,9
800,Les feuilles tournent au rouge,5
801,Novembre dépouille les arbres,6
802,La brume couvre le matin,6
803,Le brouillard étouffe les bruits,7
804,Les oiseaux migrent vers le sud,7
805,Le ciel se charge de gris,6
806,Décembre apporte la neige,6
807,Les flocons tombent en silence,7
808,Le givre dessine des fleurs,6
809,La cheminée chauffe le salon,8
810,Le sapin scintille dans le coin,8
811,Les guirlandes habillent les rues,7
812,Janvier glace les rivières,6
813,Le froid mord les joues rougies,7
814,Le ciel reste bas tout le mois,7
815,Février s achève en silence,8
816,Mars souffle ses derniers froids,6
817,Le printemps revient enfin,7
818,Les saisons tournent sans répit,7
819,Le temps file sans qu on le voie,7
820,Les jours raccourcissent en hiver,8
821,Les nuits paraissent infinies,7
822,L aube tarde à venir en janvier,8
823,Le crépuscule arrive trop tôt,8
824,Les heures s allongent en été,7
825,Les minutes filent quand on aime,7
826,Le siècle passe en un instant,7
827,Le temps n attend personne,6
828,Une seconde suffit parfois,7
829,Une vie se résume en peu de mots,9
830,L enfance fuit avant qu on s en aperçoive,10
831,L adolescence brûle sans se dire,8
832,La jeunesse part trop vite,6
833,La vieillesse arrive trop tôt,7
834,Le miroir révèle les rides,7
835,Les cheveux blanchissent sans bruit,7
836,Les souvenirs reviennent par vagues,8
837,Le passé pèse sur les épaules,8
838,L avenir reste incertain,7
839,Demain on fera mieux,6
840,Hier appartient déjà au songe,8
841,Aujourd'hui glisse entre les doigts,7
842,Le présent est tout ce qu on a,8
843,Vivre est un art difficile,7
844,Aimer est un risque à prendre,7
845,Mourir n est qu une étape,6
846,Naître est déjà une chance,6
847,Grandir nous coûte quelque chose,6
848,Apprendre demande du temps,6
849,Comprendre prend toute une vie,6
